,loan_amnt,int_rate,installment
0,5000,10.65%,162.87
1,2500,15.27%,59.83
2,2400,15.96%,84.33
3,10000,13.49%,339.31
4,3000,12.69%,67.79
5,5000,7.90%,156.46
6,7000,15.96%,170.08
7,3000,18.64%,109.43
8,5600,21.28%,152.39
9,5375,12.69%,121.45
10,6500,14.65%,153.45
11,12000,12.69%,402.54
12,9000,13.49%,305.38
13,3000,9.91%,96.68
14,10000,10.65%,325.74
15,1000,16.29%,35.31
16,10000,15.27%,347.98
17,3600,6.03%,109.57
18,6000,11.71%,198.46
19,9200,6.03%,280.01
20,20250,15.27%,484.63
21,21000,12.42%,701.73
22,10000,11.71%,330.76
23,10000,11.71%,330.76
24,6000,11.71%,198.46
25,15000,9.91%,483.38
26,15000,14.27%,514.64
27,5000,16.77%,123.65
28,4000,11.71%,132.31
29,8500,11.71%,281.15
30,4375,7.51%,136.11
31,31825,7.90%,995.82
32,10000,15.96%,242.97
33,5000,8.90%,158.77
34,7000,15.96%,245.97
35,12400,10.65%,403.91
36,10800,9.91%,348.03
37,15000,7.90%,469.36
38,6000,12.42%,200.5
39,12500,12.69%,282.44
40,9600,7.51%,298.67
41,12000,7.90%,375.49
42,3000,18.25%,108.84
43,4400,16.77%,156.37
44,6000,6.03%,182.62
45,14000,9.91%,451.15
46,5000,8.90%,158.77
47,10000,10.65%,325.74
48,10000,6.03%,304.36
49,11000,6.62%,337.75
50,15000,9.91%,483.38
51,25600,9.91%,824.96
52,7000,10.65%,228.02
53,12000,15.96%,421.65
54,12000,9.91%,386.7
55,21000,19.91%,555.33
56,16000,19.91%,423.11
57,10000,12.42%,334.16
58,10000,10.65%,325.74
59,7100,16.77%,252.33
60,13000,12.69%,293.74
61,17500,17.27%,223.74
62,17675,14.65%,417.25
63,8000,16.77%,284.31
64,10000,10.65%,215.69
65,3500,10.65%,114.01
66,12500,17.27%,223.11
67,16425,14.27%,563.53
68,8200,21.28%,223.14
69,15000,14.65%,517.42
70,20975,17.58%,341.63
71,6400,16.77%,227.45
72,3000,13.49%,101.8
73,12000,16.77%,426.47
74,14400,8.90%,457.25
75,12000,14.65%,413.94
76,11000,13.49%,373.24
77,7250,21.67%,197.51
78,15000,7.90%,469.36
79,18000,19.91%,475.99
80,35000,17.27%,551.84
81,10000,14.27%,343.09
82,11800,12.69%,395.83
83,4500,6.03%,136.96
84,7000,12.69%,234.82
85,9200,12.42%,307.43
86,14000,17.27%,349.98
87,4500,10.65%,97.06
88,12000,16.29%,423.61
89,12000,13.49%,407.17
90,12000,10.65%,390.88
91,7000,10.65%,228.02
92,8200,19.42%,214.62
93,10500,12.69%,352.23
94,7000,11.71%,231.54
95,15300,22.06%,423.1
96,20000,11.71%,282.86
97,17500,17.27%,437.47
98,3500,6.03%,106.53
99,6000,12.69%,135.57
100,6200,9.91%,199.8
101,16000,17.58%,402.65
102,6000,8.90%,190.52
103,7200,9.91%,232.02
104,9500,8.90%,301.66
105,18825,16.77%,465.53
106,24000,10.65%,781.76
107,6000,13.49%,203.59
108,6000,13.49%,203.59
109,2100,12.42%,70.18
110,5500,6.62%,168.88
111,11000,6.62%,337.75
112,26800,20.89%,723.38
113,8000,12.69%,268.36
114,10000,18.25%,362.78
115,8000,11.71%,264.61
116,10000,8.90%,317.54
117,12000,11.71%,396.92
118,10000,7.90%,312.91
119,12000,9.91%,386.7
120,25000,13.49%,575.12
121,19750,10.65%,643.33
122,10000,9.91%,322.25
123,13650,12.42%,456.12
124,28000,19.91%,312.04
125,18000,7.90%,563.23
126,2500,14.27%,85.78
127,21000,20.30%,559.89
128,35000,8.90%,1111.37
129,10000,7.51%,311.11
130,7000,12.69%,234.82
131,24000,15.96%,843.3
132,10625,7.51%,330.56
133,5000,14.65%,172.48
134,8850,6.62%,271.73
135,6375,7.51%,198.34
136,6000,11.71%,198.46
137,11100,6.62%,340.82
138,10000,12.69%,225.95
139,6200,6.03%,188.71
140,15000,18.64%,547.12
141,4200,11.71%,138.92
142,14000,14.27%,480.33
143,8875,7.51%,276.11
144,13500,9.91%,435.04
145,12000,9.91%,386.7
146,16000,19.91%,423.11
147,21600,19.42%,565.32
148,6000,10.65%,195.44
149,8450,16.77%,208.97
150,20000,13.49%,460.1
151,10000,11.71%,330.76
152,12000,16.29%,423.61
153,13475,13.49%,309.99
154,7200,12.42%,240.59
155,5600,14.65%,193.17
156,12000,14.27%,411.71
157,8500,6.03%,258.71
158,8000,9.91%,257.8
159,8000,12.42%,267.33
160,16000,15.27%,382.92
161,15000,17.27%,536.81
162,10000,9.91%,322.25
163,10000,6.62%,307.04
164,8000,14.65%,275.96
165,22000,9.91%,708.95
166,6000,14.27%,205.86
167,16000,9.91%,339.25
168,2500,7.51%,77.78
169,13500,9.91%,435.04
170,25000,12.42%,835.39
171,10000,13.49%,339.31
172,2500,13.49%,84.83
173,7325,12.69%,245.72
174,4000,12.42%,133.67
175,10000,13.49%,339.31
176,7750,17.27%,277.36
177,20000,20.89%,539.84
178,9600,12.42%,320.79
179,21000,11.71%,464.07
180,14000,10.65%,456.03
181,13350,12.42%,446.1
182,15000,16.77%,533.08
183,15000,17.27%,536.81
184,11000,13.49%,253.06
185,35000,10.65%,1140.07
186,9000,10.65%,293.16
187,22475,15.27%,537.87
188,16000,12.69%,536.72
189,13500,12.69%,452.86
190,24000,12.69%,805.08
191,12000,10.65%,390.88
192,8400,16.77%,207.73
193,28000,17.58%,704.64
194,14000,6.62%,429.86
195,12000,14.27%,411.71
196,25000,11.71%,826.9
197,9000,12.69%,301.91
198,13250,10.65%,431.6
199,20000,13.49%,678.61
200,3000,14.65%,103.49
201,7350,10.65%,239.42
202,11500,15.27%,400.18
203,13650,12.42%,456.12
204,10500,16.29%,370.66
205,12000,9.91%,386.7
206,6000,8.90%,190.52
207,11500,15.27%,400.18
208,7000,12.42%,233.91
209,29500,20.30%,786.51
210,2000,15.27%,69.6
211,11625,13.49%,394.45
212,15075,14.27%,517.21
213,5300,15.27%,184.43
214,8200,6.62%,251.77
215,12000,12.42%,400.99
216,8650,14.27%,296.78
217,21000,17.27%,294.98
218,16000,17.27%,399.97
219,12000,12.42%,400.99
220,9500,12.69%,318.68
221,7400,13.49%,251.09
222,14400,13.49%,488.6
223,24250,23.91%,519.76
224,7200,7.90%,225.29
225,26000,16.77%,642.96
226,7000,11.71%,154.69
227,4000,7.51%,124.45
228,1500,17.27%,53.69
229,19600,12.42%,654.94
230,2500,11.71%,82.69
231,10000,12.69%,335.45
232,10000,6.62%,307.04
233,4225,12.42%,141.18
234,3500,7.90%,109.52
235,12000,6.62%,368.45
236,16500,8.90%,523.93
237,22000,21.67%,603.5
238,12000,14.65%,413.94
239,15600,12.69%,352.48
240,10800,12.42%,360.89
241,14000,12.42%,467.82
242,18825,17.58%,473.75
243,6000,13.49%,203.59
244,12000,9.91%,386.7
245,10000,12.42%,334.16
246,8000,7.90%,250.33
247,14125,9.91%,455.18
248,14000,12.69%,469.63
249,13200,17.27%,224.36
250,4000,19.03%,146.69
251,4000,12.69%,134.18
252,10500,6.03%,319.58
253,5500,7.90%,172.1
254,7350,11.71%,243.11
255,10000,12.42%,334.16
256,12000,7.51%,373.33
257,5000,11.71%,110.5
258,8000,11.71%,176.79
259,4500,8.90%,142.89
260,18000,12.42%,601.48
261,12300,13.49%,282.96
262,12000,13.49%,407.17
263,10000,13.49%,339.31
264,6000,7.90%,187.75
265,12000,12.69%,402.54
266,12000,8.90%,381.04
267,7000,11.71%,231.54
268,35000,18.64%,690.56
269,1400,7.90%,43.81
270,16000,13.49%,368.08
271,3200,9.91%,103.12
272,8000,7.90%,250.33
273,11875,12.69%,268.32
274,5000,6.03%,152.18
275,1800,6.62%,55.27
276,35000,8.90%,1111.37
277,18000,8.90%,571.56
278,14000,7.90%,438.07
279,5000,12.42%,167.08
280,8000,15.96%,281.1
281,10000,6.03%,304.36
282,10000,7.51%,311.11
283,12000,12.42%,400.99
284,23200,7.90%,725.94
285,18000,15.27%,430.78
286,4800,15.27%,167.03
287,7300,11.71%,241.46
288,10400,9.91%,335.14
289,6600,9.91%,212.69
290,12000,8.90%,381.04
291,13250,17.27%,474.19
292,12000,11.71%,396.92
293,25000,9.91%,805.63
294,6000,10.65%,195.44
295,12000,7.51%,373.33
296,14400,11.71%,476.3
297,10000,12.42%,334.16
298,8000,11.71%,264.61
299,8000,16.29%,282.41
300,30000,12.42%,673.72
301,18000,16.77%,445.13
302,13250,11.71%,438.26
303,14000,14.27%,480.33
304,20000,20.30%,533.23
305,10000,16.29%,353.01
306,35000,20.30%,619.88
307,4000,6.03%,121.75
308,13000,9.91%,418.93
309,28000,12.69%,939.26
310,10000,13.49%,339.31
311,20000,7.90%,625.81
312,18000,9.91%,580.05
313,9000,19.91%,238.0
314,25000,18.64%,643.58
315,10000,11.71%,330.76
316,4200,6.03%,127.83
317,20000,15.27%,478.64
318,18000,17.27%,449.97
319,24000,16.29%,847.21
320,4475,15.27%,155.72
321,20000,14.65%,472.14
322,12000,12.42%,400.99
323,18000,17.58%,452.98
324,5000,12.42%,167.08
325,3000,6.03%,91.31
326,25000,19.03%,648.93
327,18000,19.03%,467.23
328,12000,9.91%,386.7
329,20000,15.27%,695.96
330,10000,13.49%,339.31
331,15000,12.42%,501.23
332,12000,7.90%,375.49
333,20000,10.65%,290.64
334,6300,11.71%,208.38
335,20000,16.77%,494.59
336,35000,17.27%,578.71
337,8250,15.96%,200.45
338,20000,12.69%,451.9
339,10000,11.71%,330.76
340,24000,8.90%,762.08
341,14400,12.69%,483.05
342,6000,14.65%,206.97
343,22000,15.96%,773.03
344,12000,11.71%,396.92
345,16000,16.77%,568.62
346,10000,10.65%,325.74
347,16000,19.03%,301.76
348,10000,12.69%,335.45
349,3500,13.49%,118.76
350,9600,9.91%,309.36
351,9875,7.90%,309.0
352,21500,17.58%,427.19
353,4800,7.90%,150.2
354,7800,6.03%,237.4
355,20000,14.27%,686.18
356,9750,7.51%,303.34
357,18000,15.96%,365.67
358,5000,6.03%,152.18
359,9000,14.65%,310.45
360,7200,7.90%,225.29
361,3000,19.03%,77.88
362,25000,19.42%,654.31
363,25000,15.27%,869.95
364,10000,15.96%,351.38
365,8875,12.69%,297.72
366,15550,11.71%,514.34
367,17000,15.27%,406.85
368,7500,12.69%,251.59
369,8875,8.90%,281.81
370,4500,17.27%,161.05
371,5800,12.42%,193.81
372,10000,11.71%,330.76
373,10000,9.91%,322.25
374,14000,11.71%,463.07
375,25000,19.03%,648.93
376,12000,8.90%,381.04
377,24000,7.90%,750.97
378,14000,14.27%,480.33
379,12000,8.90%,381.04
380,15000,12.69%,338.93
381,8050,12.69%,270.04
382,5600,10.65%,182.42
383,7500,9.91%,241.69
384,7000,11.71%,231.54
385,5400,7.90%,168.97
386,16000,12.42%,534.65
387,35000,12.42%,619.26
388,6000,7.90%,121.38
389,4125,12.69%,93.21
390,9800,16.29%,345.95
391,15700,18.25%,400.82
392,5000,6.62%,153.52
393,9900,11.71%,327.46
394,4000,11.71%,132.31
395,15000,11.71%,496.14
396,6250,15.96%,219.61
397,6400,16.29%,225.93
398,8850,13.49%,203.6
399,12000,15.27%,417.58
400,15000,8.90%,476.3
401,6500,14.27%,223.01
402,8000,15.96%,281.1
403,30000,21.28%,539.47
404,15000,14.65%,517.42
405,10200,14.27%,349.96
406,9000,12.42%,300.74
407,6500,16.29%,229.46
408,23000,21.28%,625.86
409,2000,7.90%,62.59
410,8000,13.49%,271.45
411,8875,7.51%,276.11
412,1500,18.64%,54.72
413,8000,12.42%,267.33
414,20000,14.65%,399.55
415,6500,11.71%,215.0
416,9600,13.49%,325.74
417,25975,12.69%,372.25
418,10000,7.90%,312.91
419,15000,12.42%,501.23
420,9000,6.62%,276.34
421,10000,7.90%,312.91
422,1000,14.65%,34.5
423,14000,7.90%,438.07
424,8500,14.27%,291.63
425,15000,19.03%,389.36
426,4500,15.96%,158.12
427,3000,7.51%,93.34
428,10000,9.91%,322.25
429,21250,16.77%,525.5
430,33425,13.49%,475.63
431,35000,19.42%,916.03
432,7200,15.27%,250.55
433,18000,11.71%,397.77
434,23000,7.90%,719.68
435,20000,16.77%,494.59
436,6000,17.58%,151.0
437,7000,8.90%,222.28
438,21000,12.69%,704.45
439,8250,7.51%,256.67
440,13000,9.91%,418.93
441,18000,6.62%,552.67
442,7200,6.03%,219.14
443,16500,8.90%,523.93
444,8125,7.90%,254.24
445,18800,7.51%,584.89
446,26800,19.03%,982.79
447,19200,7.90%,600.78
448,12875,17.58%,213.28
449,4000,12.42%,133.67
450,4000,16.29%,141.21
451,12000,9.91%,386.7
452,2625,11.71%,86.83
453,18000,13.49%,414.09
454,7000,9.91%,225.58
455,11300,12.69%,379.06
456,4000,9.91%,128.9
457,8000,6.03%,243.49
458,14400,18.25%,522.41
459,4375,12.42%,146.2
460,4100,7.51%,127.56
461,6000,8.90%,190.52
462,4200,17.27%,105.0
463,4000,6.62%,122.82
464,3000,10.65%,97.72
465,5400,12.69%,181.15
466,15000,16.29%,529.51
467,20000,18.64%,514.86
468,10400,12.69%,348.87
469,4500,17.58%,113.25
470,11500,12.42%,384.28
471,10000,6.62%,307.04
472,18225,13.49%,309.42
473,3600,8.90%,114.32
474,18500,11.71%,292.81
475,16800,18.25%,428.9
476,10000,17.27%,357.88
477,15000,18.25%,544.17
478,8000,11.71%,264.61
479,25000,16.77%,443.89
480,16000,7.90%,500.65
481,8000,10.65%,260.59
482,7200,7.51%,224.0
483,12000,7.51%,373.33
484,2200,15.27%,76.56
485,20000,12.69%,451.9
486,28000,12.42%,628.81
487,6000,7.51%,186.67
488,25000,19.42%,654.31
489,8000,8.90%,165.68
490,14400,15.27%,501.09
491,20000,19.03%,355.62
492,25000,14.27%,467.0
493,14050,8.90%,446.14
494,6000,13.49%,203.59
495,16100,11.71%,355.79
496,35000,20.30%,619.88
497,10525,7.90%,329.33
498,7200,15.96%,252.99
499,18500,10.65%,340.24
500,12000,13.49%,407.17
501,12000,11.71%,396.92
502,3000,11.71%,99.23
503,9500,16.29%,335.36
504,19775,12.42%,660.79
505,12000,14.65%,283.28
506,28000,14.27%,655.44
507,30000,12.42%,1002.46
508,16000,10.65%,521.18
509,14500,14.65%,500.17
510,11700,14.65%,276.2
511,4150,10.65%,135.18
512,15000,11.71%,331.48
513,24000,16.77%,852.93
514,21250,12.42%,710.08
515,10000,14.27%,343.09
516,25000,18.25%,638.25
517,4000,15.96%,140.55
518,15000,11.71%,496.14
519,20000,13.49%,460.1
520,15000,17.58%,377.49
521,3600,15.96%,126.5
522,6000,19.03%,155.75
523,15000,15.27%,521.97
524,12000,18.25%,306.36
525,12375,7.51%,385.0
526,4000,12.69%,134.18
527,13000,10.65%,423.46
528,5000,6.62%,153.52
529,5000,15.96%,175.69
530,26000,11.71%,859.98
531,15000,18.64%,386.15
532,4000,19.91%,105.78
533,8000,7.90%,250.33
534,1700,7.90%,53.2
535,16000,9.91%,515.6
536,20000,9.91%,424.06
537,12000,14.65%,413.94
538,7000,11.71%,231.54
539,8000,20.30%,213.29
540,13000,23.52%,370.38
541,13000,16.29%,458.91
542,20000,21.28%,544.23
543,18000,13.49%,610.75
544,10000,16.29%,353.01
545,22250,15.27%,532.49
546,24000,17.58%,603.98
547,11200,12.42%,374.26
548,7000,10.65%,228.02
549,8000,6.03%,243.49
550,22500,16.77%,556.41
551,12000,17.27%,429.45
552,22000,14.65%,758.88
553,6200,10.65%,201.96
554,15900,9.91%,512.38
555,5000,8.90%,158.77
556,16000,6.62%,491.26
557,5000,11.71%,165.38
558,3150,15.27%,109.62
559,12000,14.27%,411.71
560,28000,7.90%,876.13
561,5000,12.42%,167.08
562,3000,9.91%,96.68
563,3000,7.90%,93.88
564,8400,6.62%,257.92
565,7000,10.65%,228.02
566,18550,19.42%,303.6
567,2000,9.91%,64.45
568,12000,14.65%,226.63
569,8575,17.58%,308.21
570,28000,12.42%,418.27
571,10000,7.90%,312.91
572,25000,19.42%,921.72
573,8000,11.71%,264.61
574,16000,18.25%,408.48
575,25000,11.71%,826.9
576,2000,9.91%,64.45
577,16800,14.65%,579.51
578,8000,8.90%,254.03
579,12000,12.69%,271.14
580,11000,7.90%,344.2
581,5000,16.29%,176.51
582,18000,16.29%,635.41
583,10000,12.69%,335.45
584,5000,9.91%,161.13
585,10000,16.29%,353.01
